"restaurant_id","restaurant_name","restaurant_type","area","dine_rating","dine_reviews","delivery_rating","delivery_reviews","cost_for_two","liked"
"3199","The Oyster","Casual Dining","Kothrud","3.7","181","3.5","2540","1000","Roti, Manchow Soup, Chicken Lasuni Kebab, Fish, Sea Food, Tikka, Momos"
"3200","New Shegaon Kachori Centre","Quick Bites","Kothrud","3.4","15","0.0","0","100",""
"3201","Aman Chinese Center","Quick Bites","Wadgaon Sheri","2.9","4","0.0","0","500",""
"3202","Morya Misal","Quick Bites","Chandan Nagar","3.9","102","3.9","513","150","Misal Pav, Poha, Chai, Dahi Misal, Farsan"
"3203","Morya Misal","","Magarpatta","3.6","42","0.0","0","100",""
"3204","Morya Misal","Quick Bites","Karve Nagar","2.6","6","0.0","0","100",""
"3205","Morya Misal","Quick Bites","Kharadi","3.3","0","3.7","0","150",""
"3206","Bowlsome By Ola Foods","","Pimple Nilakh","0.0","0","0.0","0","200",""
"3207","Bowlsome By Ola Foods","","Kothrud","0.0","0","0.0","0","200",""
"3208","Bowlsome By Ola Foods","","Hinjawadi","3.9","27","0.0","0","200",""
"3209","Bowlsome By Ola Foods","","Wadgaon Sheri","3.9","37","0.0","0","200",""
"3210","Bowlsome By Ola Foods","","Pimple Gurav","0.0","0","0.0","0","200",""
"3211","Bowlsome By Ola Foods","","Wakad","0.0","0","0.0","0","200",""
"3212","KNS","Quick Bites","Bhosari","3.6","39","3.8","401","300",""
"3213","KNS","Quick Bites","Nigdi","3.6","95","4.0","1444","300","Burgers, Pizza"
"3214","KNS","Quick Bites","Pimple Gurav","3.6","54","4.0","540","300",""
"3215","KNS","Quick Bites","Baner","3.6","53","3.3","124","300",""
"3216","KNS","Quick Bites","Bhosari","0.0","0","0.0","0","350",""
"3217","KNS","Quick Bites","Pimpri","3.4","56","4.0","2890","300",""
"3218","KNS","Quick Bites","Aundh","3.3","5","0.0","0","300",""
"3219","KNS","Quick Bites","Pimpri","4.0","221","3.4","374","300","Burgers, Sandwich, Fries, Paneer Pizza, Veg Burger"
"3220","KNS","Quick Bites","Chinchwad","3.5","43","3.9","1086","300",""
"3221","KNS","Quick Bites","Bhosari","0.0","0","0.0","0","300",""
"3222","KNS","Quick Bites","Wakad","0.0","0","0.0","0","300",""
"3223","KNS","Quick Bites","Premier Plaza, Chinchwad","3.7","82","3.8","3271","300","Burgers, Tikki"
"3224","KNS","Quick Bites","Hinjawadi","2.6","13","3.9","244","300",""
"3225","KNS","Quick Bites","Chinchwad","3.6","4","3.5","80","300",""
"3226","KNS","Quick Bites","Pimple Saudagar","3.1","10","3.9","56","300",""
"3227","KNS","Quick Bites","Hinjawadi","0.0","0","0.0","0","300",""
